Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear,HP_Category,DealSizeBucket
4 wheel parts,2006-02-14,2024-10-18,18.67488021902806,SingleEntrySingleExit,buyout/lbo,add-on,,,"irving place capital(bodil arlander), transamerican auto parts(george adler)",merger/acquisition,corporate divestiture,,45.0,off road warehouse,2006,2024,Long (>7y),Q1 (small)
abc-naco (flow and specialty products),2001-05-01,2017-07-01,16.16700889801506,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,24.0,ing furman selz investments,merger/acquisition,,,,,2001,2017,Long (>7y),missing
accuride,2005-01-28,2005-04-26,0.24093086926762491,MultipleEntriesSingleExit,pe growth/expansion,,,1058.0,"cetus capital, littlejohn & co., tinicum, trimaran capital partners",ipo,,,99.0,,2005,2005,Short (<2y),Q2
ace products,2006-07-19,2006-08-10,0.06023271731690623,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,tpg angelo gordon,merger/acquisition,,,,carlisle tire & wheel,2006,2006,Short (<2y),missing
adesa (automotive),2007-04-20,2022-05-09,15.052703627652292,SingleEntryMultipleExits,buyout/lbo,add-on,public to private,3228.0,"goldman sachs asset management(hugues lepic), kelso & company(michael goldberg), openlane (media and information services (b2b)) (nys: kar), parthenon capital partners(david ament), valueact capital management(peter kamin)",merger/acquisition,corporate divestiture,,2195.0,carvana (nys: cvna)(ernest garcia),2007,2022,Long (>7y),Q4 (large)
advance health (usa),2017-12-21,2017-12-22,0.0027378507871321013,SingleEntrySingleExit,buyout/lbo,secondary buyout,recapitalization,,new mountain capital(matthew holt),merger/acquisition,,,,signify health,2017,2017,Short (<2y),missing
aladdin food management services,2008-04-10,2008-06-01,0.14236824093086928,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,gryphon investors(nicholas orum),merger/acquisition,,,,elior group (par: elior),2008,2008,Short (<2y),missing
amercable,2007-06-29,2025-01-02,17.51403148528405,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,212.0,quintana capital group,merger/acquisition,corporate divestiture,,280.0,mattr infratech (tse: matr)(michael reeves),2007,2025,Long (>7y),Q2
american civil constructors,2009-02-02,2024-06-01,15.326488706365502,SingleEntryMultipleExits,buyout/lbo,public to private,,61.3,insight equity(conner searcy),merger/acquisition,corporate divestiture,,,orion group holdings (nys: orn),2009,2024,Long (>7y),missing
ames taping tools,2005-12-21,2021-12-01,15.945242984257359,SingleEntrySingleExit,buyout/lbo,secondary buyout,,287.5,"aurora capital partners(fred elsea), gsc group, saybrook capital, the cambria group",merger/acquisition,,,226.7,gypsum management & supply (nys: gms)(john turner),2005,2021,Long (>7y),Q2
amresco commercial finance,2001-07-02,2020-05-01,18.830937713894592,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,260.0,"fortress investment group, goldman sachs asset management",merger/acquisition,,,,,2001,2020,Long (>7y),missing
arc document solutions,2000-02-01,2024-11-22,24.80766598220397,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,,"chs capital, new harbor capital(thomas formolo)",merger/acquisition,public to private,,173.21,techprint holdings,2000,2024,Long (>7y),Q2
arizona instrument,2000-06-27,2018-02-01,17.598904859685145,SingleEntrySingleExit,buyout/lbo,public to private,management buyout,7.0,arizona multibank(andrew gordon),merger/acquisition,,,38.0,ametek (nys: ame)(david zapico),2000,2018,Long (>7y),Q1 (small)
aspect foundation,2000-10-23,2023-06-01,22.60369609856263,SingleEntrySingleExit,buyout/lbo,,,25.0,warburg pincus(nicholas lowcock),merger/acquisition,,,,,2000,2023,Long (>7y),missing
auto safety house,2006-01-04,2021-08-24,15.63586584531143,SingleEntrySingleExit,buyout/lbo,secondary buyout,,4.2,,merger/acquisition,corporate divestiture,,,the reading group(alan farash),2006,2021,Long (>7y),missing
baker & taylor,2006-07-05,2021-11-04,15.3347022587269,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,455.0,"branford castle partners, castle harlan(gary appel)",merger/acquisition,corporate divestiture,,,,2006,2021,Long (>7y),missing
beechcraft,2013-02-15,2013-05-16,0.2464065708418891,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,,"bain capital credit, centerbridge partners, the capital group companies, tpg angelo gordon",ipo,,,,,2013,2013,Short (<2y),missing
berry global,2006-09-20,2025-04-30,18.60917180013689,MultipleEntriesMultipleExits,buyout/lbo,,,2250.0,"apollo asset management (nys: apo)(steven anreder), graham partners(christopher lawler)",merger/acquisition,,,24706.0,amcor (nys: amcr)(peter konieczny),2006,2025,Long (>7y),Q4 (large)
bertucci's,1998-06-21,2018-06-05,19.956194387405887,SingleEntrySingleExit,buyout/lbo,add-on,public to private,87.46,"bain capital credit, jacobson partners(benjamin jacobs), levine leichtman capital partners, ne restaurant",merger/acquisition,,,20.0,earl enterprises(robert earl),1998,2018,Long (>7y),Q1 (small)
bio-plexus,2002-06-01,2002-11-01,0.4188911704312115,SingleEntryMultipleExits,buyout/lbo,,,,belhealth investment partners,merger/acquisition,,,,,2002,2002,Short (<2y),missing
blastrac,2005-04-16,2020-11-24,15.60848733744011,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,130.0,"bard capital group(richard bard), solaia capital advisors",merger/acquisition,,,,husqvarna (sto: husq a)(henric andersson),2005,2020,Long (>7y),missing
brinks home security,2019-08-30,2019-09-05,0.01642710472279261,MultipleEntriesMultipleExits,buyout/lbo,recapitalization,,,"brigade capital management, eqt (sto: eqt)(stephen escudier)",ipo,,,,,2019,2019,Short (<2y),missing
business resource group,2000-08-16,2015-10-01,15.123887748117728,SingleEntryMultipleExits,buyout/lbo,public to private,,48.6,three cities research,merger/acquisition,,,,,2000,2015,Long (>7y),missing
business resource group,2000-08-16,2016-07-05,15.885010266940451,SingleEntryMultipleExits,buyout/lbo,public to private,,48.6,three cities research,merger/acquisition,,,,jones lang lasalle (nys: jll)(john forrest),2000,2016,Long (>7y),missing
cal quality electronics,2001-02-15,2016-04-01,15.123887748117728,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,churchill equity,merger/acquisition,,,23.5,parpro (tai: 4916)(thomas sparrvik),2001,2016,Long (>7y),Q1 (small)
