DealID,Company,Company_norm,DealType,DealType2,DealType3,DealDate,DealSize,DealStatus,EntryDate,HoldingYears,AbsDaysAfter,Seed_DealID,Seed_Company,Seed_DealDate,Seed_DealSize
90359-83T,Energy Future Holdings,energy future holdings,Merger/Acquisition,,,2018-03-09,9450.0,Completed,2007-10-10,10.412046543463381,3803,10217-44T,Energy Future Holdings,2007-10-10,45000.0
289730-89T,X (Social/Platform Software),x (social/platform software),Merger/Acquisition,,,2025-03-28,33000.0,Completed,2022-10-27,2.4175222450376452,883,192262-69T,X (Social/Platform Software),2022-10-27,38184.79
53879-23T,First Data,first data,IPO,Debt Repayment,,2015-10-15,2560.0,Completed,2007-09-24,8.057494866529774,2943,10215-46T,First Data,2007-09-24,29000.0
115573-78T,First Data,first data,Merger/Acquisition,,,2019-07-29,46475.0,Completed,2007-09-24,11.84394250513347,4326,10215-46T,First Data,2007-09-24,29000.0
58462-12T,The Kraft Heinz (NAS: KHC),the kraft heinz (nas: khc),Reverse Merger,,,2015-07-02,,Completed,2013-02-14,2.3764544832306638,868,24443-74T,The Kraft Heinz (NAS: KHC),2013-02-14,28000.0
11613-34T,Alltel,alltel,Merger/Acquisition,,,2009-01-09,28100.0,Completed,2007-11-16,1.1498973305954825,420,10207-54T,Alltel,2007-11-16,27500.0
39731-59T,Alltel,alltel,Merger/Acquisition,Corporate Divestiture,,2013-09-01,,Completed,2007-11-16,5.793292265571527,2116,10207-54T,Alltel,2007-11-16,27500.0
18244-54T,Hilton Worldwide Holdings (NYS: HLT),hilton worldwide holdings (nys: hlt),IPO,,,2013-12-12,2352.81,Completed,2007-06-01,6.532511978097194,2386,10305-01T,Hilton Worldwide Holdings (NYS: HLT),2007-06-01,26100.0
243580-06T,Dell Technologies (NYS: DELL),dell technologies (nys: dell),Reverse Merger,,,2018-12-28,,Completed,2013-10-29,5.163586584531143,1886,23881-42T,Dell Technologies (NYS: DELL),2013-10-29,24900.0
17123-14T,Freescale Semiconductor,freescale semiconductor,IPO,,,2011-05-26,783.0,Completed,2006-11-01,4.563997262149213,1667,10359-01T,Freescale Semiconductor,2006-11-01,17600.0
45809-02T,Freescale Semiconductor,freescale semiconductor,Merger/Acquisition,,,2015-12-07,11600.0,Completed,2006-11-01,9.097878165639973,3323,10359-01T,Freescale Semiconductor,2006-11-01,17600.0
243605-89T,Kinder Morgan (NYS: KMI),kinder morgan (nys: kmi),IPO,,,2011-02-11,2864.0,Completed,2007-05-29,3.707049965776865,1354,10220-50T,Kinder Morgan (NYS: KMI),2007-05-29,14700.0
