Vintage,ExitQuality,Count
1987,High,1
1987,Low,2
1988,Low,2
1989,Low,5
1990,Low,1
1992,Low,1
1993,Low,1
1994,Low,1
1995,Low,2
1996,High,2
1996,Low,2
1996,Other,2
1997,Low,6
1998,Low,7
1999,High,4
1999,Low,14
2000,High,4
2000,Low,12
2001,Low,4
2002,High,3
2002,Low,6
2003,High,1
2003,Low,12
2003,Other,1
2004,High,3
2004,Low,13
2005,High,6
2005,Low,18
2006,High,7
2006,Low,30
2007,High,18
2007,Low,40
2007,Other,2
2008,High,5
2008,Low,16
2009,High,1
2009,Low,21
2010,High,2
2010,Low,22
2010,Other,2
2011,High,7
2011,Low,20
2012,Low,17
2013,High,2
2013,Low,12
2013,Other,2
2014,Low,8
2015,High,4
2015,Low,10
2015,Other,2
2016,High,4
2016,Low,10
2016,Other,2
2017,High,1
2017,Low,11
2018,Low,4
2019,High,1
2019,Low,6
2020,Low,4
2022,Low,3
