Vintage,ExitTypeLabel,Count
1987,IPO,1
1987,Sale to strategic,2
1988,Sale to strategic,2
1989,Sale to strategic,5
1990,Sale to strategic,1
1992,Sale to strategic,1
1993,Sale to strategic,1
1994,Sale to strategic,1
1995,Sale to strategic,2
1996,IPO,2
1996,Other/Unknown,2
1996,Sale to strategic,2
1997,Sale to strategic,6
1998,Sale to strategic,7
1999,IPO,4
1999,Sale to strategic,14
2000,IPO,4
2000,Sale to strategic,12
2001,Sale to strategic,4
2002,IPO,3
2002,Sale to strategic,6
2003,IPO,1
2003,Other/Unknown,1
2003,Sale to strategic,12
2004,IPO,3
2004,Sale to strategic,13
2005,IPO,6
2005,Sale to strategic,18
2006,IPO,7
2006,Sale to strategic,30
2007,IPO,18
2007,Other/Unknown,2
2007,Sale to strategic,40
2008,IPO,5
2008,Sale to strategic,16
2009,IPO,1
2009,Sale to strategic,21
2010,IPO,2
2010,Other/Unknown,2
2010,Sale to strategic,22
2011,IPO,7
2011,Sale to strategic,20
2012,Sale to strategic,17
2013,IPO,2
2013,Other/Unknown,2
2013,Sale to strategic,12
2014,Sale to strategic,8
2015,IPO,4
2015,Other/Unknown,2
2015,Sale to strategic,10
2016,IPO,4
2016,Other/Unknown,2
2016,Sale to strategic,10
2017,IPO,1
2017,Sale to strategic,11
2018,Sale to strategic,4
2019,IPO,1
2019,Sale to strategic,6
2020,Sale to strategic,4
2022,Sale to strategic,3
