Vintage,ExitQuality,Count
1987,Low,2
1988,Low,1
1989,Low,5
1990,Low,1
1993,Low,1
1994,Low,1
1995,Low,2
1996,High,2
1996,Low,2
1996,Other,2
1997,Low,4
1998,Low,6
1999,High,4
1999,Low,12
2000,High,4
2000,Low,11
2001,Low,3
2002,High,2
2002,Low,5
2003,High,1
2003,Low,12
2003,Other,1
2004,High,3
2004,Low,11
2005,High,6
2005,Low,16
2006,High,7
2006,Low,26
2007,High,18
2007,Low,38
2007,Other,2
2008,High,5
2008,Low,16
2009,High,1
2009,Low,13
2010,High,2
2010,Low,22
2010,Other,1
2011,High,7
2011,Low,19
2012,Low,15
2013,High,2
2013,Low,10
2013,Other,2
2014,Low,6
2015,High,4
2015,Low,9
2015,Other,2
2016,High,4
2016,Low,9
2016,Other,2
2017,High,1
2017,Low,10
2018,Low,3
2019,High,1
2019,Low,5
2020,Low,4
2022,Low,3
