Vintage,ExitQuality,TotalSize
1987,Low,274.3
1988,Low,410.0
1989,Low,7976.3
1990,Low,18.0
1993,Low,166.15
1994,Low,2000.0
1995,Low,67.91
1996,High,1960.0
1996,Low,422.62
1996,Other,3030.0
1997,Low,832.76
1998,Low,1471.26
1999,High,2041.5
1999,Low,5967.7
2000,High,1328.68
2000,Low,5153.09
2001,Low,54.089999999999996
2002,High,756.22
2002,Low,329.86
2003,High,4700.0
2003,Low,11238.880000000001
2003,Other,8.5
2004,High,2115.3
2004,Low,3125.27
2005,High,7267.5
2005,Low,24999.1
2006,High,40918.33
2006,Low,45078.950000000004
2007,High,136783.24
2007,Low,208777.83000000002
2007,Other,3230.0
2008,High,8219.46
2008,Low,9298.78
2009,High,571.0
2009,Low,3008.88
2010,High,5331.15
2010,Low,13605.349999999999
2010,Other,126.3
2011,High,19045.0
2011,Low,28373.31
2012,Low,7000.4400000000005
2013,High,9264.15
2013,Low,9326.75
2013,Other,52900.0
2014,Low,1013.03
2015,High,11505.3
2015,Low,9492.1
2015,Other,1198.0
2016,High,17250.0
2016,Low,13756.09
2016,Other,15550.0
2017,High,4090.07
2017,Low,4114.82
2018,Low,1944.16
2019,High,6900.0
2019,Low,9057.5
2020,Low,6836.0
2022,Low,38534.19
