Vintage,ExitTypeLabel,TotalSize
1987,Sale to strategic,274.3
1988,Sale to strategic,410.0
1989,Sale to strategic,7976.3
1990,Sale to strategic,18.0
1993,Sale to strategic,166.15
1994,Sale to strategic,2000.0
1995,Sale to strategic,67.91
1996,IPO,1960.0
1996,Other/Unknown,3030.0
1996,Sale to strategic,422.62
1997,Sale to strategic,832.76
1998,Sale to strategic,1471.26
1999,IPO,2041.5
1999,Sale to strategic,5967.7
2000,IPO,1328.68
2000,Sale to strategic,5153.09
2001,Sale to strategic,54.089999999999996
2002,IPO,756.22
2002,Sale to strategic,329.86
2003,IPO,4700.0
2003,Other/Unknown,8.5
2003,Sale to strategic,11238.880000000001
2004,IPO,2115.3
2004,Sale to strategic,3125.27
2005,IPO,7267.5
2005,Sale to strategic,24999.1
2006,IPO,40918.33
2006,Sale to strategic,45078.950000000004
2007,IPO,136783.24
2007,Other/Unknown,3230.0
2007,Sale to strategic,208777.83000000002
2008,IPO,8219.46
2008,Sale to strategic,9298.78
2009,IPO,571.0
2009,Sale to strategic,3008.88
2010,IPO,5331.15
2010,Other/Unknown,126.3
2010,Sale to strategic,13605.349999999999
2011,IPO,19045.0
2011,Sale to strategic,28373.31
2012,Sale to strategic,7000.4400000000005
2013,IPO,9264.15
2013,Other/Unknown,52900.0
2013,Sale to strategic,9326.75
2014,Sale to strategic,1013.03
2015,IPO,11505.3
2015,Other/Unknown,1198.0
2015,Sale to strategic,9492.1
2016,IPO,17250.0
2016,Other/Unknown,15550.0
2016,Sale to strategic,13756.09
2017,IPO,4090.07
2017,Sale to strategic,4114.82
2018,Sale to strategic,1944.16
2019,IPO,6900.0
2019,Sale to strategic,9057.5
2020,Sale to strategic,6836.0
2022,Sale to strategic,38534.19
