Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Entry_DealType,Entry_DealType2,Entry_DealType3,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,Exit_DealType,Exit_DealType2,Exit_DealType3,HoldingYears,AbsDaysAfter
10217-44T,Energy Future Holdings,2007-10-10,45000.0,Buyout/LBO,Public to Private,,90359-83T,Energy Future Holdings,2018-03-09,9450.0,Merger/Acquisition,,,10.412046543463381,3803
192262-69T,X (Social/Platform Software),2022-10-27,38184.79,Buyout/LBO,Public to Private,Management Buyout,289730-89T,X (Social/Platform Software),2025-03-28,33000.0,Merger/Acquisition,,,2.4175222450376452,883
10215-46T,First Data,2007-09-24,29000.0,Buyout/LBO,Public to Private,,53879-23T,First Data,2015-10-15,2560.0,IPO,Debt Repayment,,8.057494866529774,2943
24443-74T,The Kraft Heinz (NAS: KHC),2013-02-14,28000.0,Buyout/LBO,Public to Private,,58462-12T,The Kraft Heinz (NAS: KHC),2015-07-02,,Reverse Merger,,,2.3764544832306638,868
10207-54T,Alltel,2007-11-16,27500.0,Buyout/LBO,Public to Private,,11613-34T,Alltel,2009-01-09,28100.0,Merger/Acquisition,,,1.1498973305954825,420
10305-01T,Hilton Worldwide Holdings (NYS: HLT),2007-06-01,26100.0,Buyout/LBO,Public to Private,,18244-54T,Hilton Worldwide Holdings (NYS: HLT),2013-12-12,2352.81,IPO,,,6.532511978097194,2386
23881-42T,Dell Technologies (NYS: DELL),2013-10-29,24900.0,Buyout/LBO,Public to Private,Management Buyout,243580-06T,Dell Technologies (NYS: DELL),2018-12-28,,Reverse Merger,,,5.163586584531143,1886
10359-01T,Freescale Semiconductor,2006-11-01,17600.0,Buyout/LBO,Public to Private,,17123-14T,Freescale Semiconductor,2011-05-26,783.0,IPO,,,4.563997262149213,1667
10220-50T,Kinder Morgan (NYS: KMI),2007-05-29,14700.0,Buyout/LBO,Public to Private,Management Buyout,243605-89T,Kinder Morgan (NYS: KMI),2011-02-11,2864.0,IPO,,,3.707049965776865,1354
44881-03T,Keurig Dr Pepper (NAS: KDP),2016-03-03,13900.0,Buyout/LBO,Public to Private,,243609-67T,Keurig Dr Pepper (NAS: KDP),2018-07-09,,Reverse Merger,,,2.349075975359343,858
10815-58T,Archstone-Smith,2007-10-05,13500.0,Buyout/LBO,Public to Private,,19126-27T,Archstone-Smith,2013-02-27,16000.0,Merger/Acquisition,,,5.3990417522245036,1972
10248-94T,Biomet,2007-09-25,11400.0,Buyout/LBO,Public to Private,,33318-73T,Biomet,2015-06-24,1335.0,Merger/Acquisition,,,7.745379876796714,2829
10347-31T,FIS Data Systems,2005-08-11,11400.0,Buyout/LBO,Public to Private,,52500-97T,FIS Data Systems,2015-11-30,12460.1,Merger/Acquisition,,,10.302532511978097,3763
10281-61T,Aramark (NYS: ARMK),2007-08-26,8300.0,Buyout/LBO,Public to Private,Management Buyout,26954-83T,Aramark (NYS: ARMK),2013-12-12,725.0,IPO,,,6.297056810403833,2300
10249-93T,Avaya,2007-10-26,8200.0,Buyout/LBO,Public to Private,,98898-85T,Avaya,2018-01-17,,IPO,,,10.22861054072553,3736
231214-96T,Tribune Media,2007-12-20,8200.0,Buyout/LBO,Public to Private,,111683-44T,Tribune Media,2019-09-19,7187.0,Merger/Acquisition,,,11.748117727583846,4291
29061-46T,CDW (NAS: CDW),2007-10-12,7332.6,Buyout/LBO,Public to Private,,29061-82T,CDW (NAS: CDW),2013-06-27,395.25,IPO,,,5.708418891170431,2085
10197-46T,Elizabeth Manor Healthcare and Rehabilitation Center,2007-12-01,7028.24,Buyout/LBO,Public to Private,,102317-14T,Elizabeth Manor Healthcare and Rehabilitation Center,2018-04-01,7100.0,Merger/Acquisition,,,10.33264887063655,3774
66341-80T,ADT (IT Security Company) (NYS: ADT),2016-05-02,7000.0,Buyout/LBO,Public to Private,,99128-98T,ADT (IT Security Company) (NYS: ADT),2018-01-19,1470.0,IPO,,,1.7166324435318274,627
29279-98T,Dollar General (NYS: DG),2007-06-01,6920.0,Buyout/LBO,Public to Private,,29280-16T,Dollar General (NYS: DG),2009-11-13,716.1,IPO,,,2.4531143052703626,896
110217-34T,Dun & Bradstreet Holdings (NYS: DNB),2019-02-08,6900.0,Buyout/LBO,Public to Private,,137835-64T,Dun & Bradstreet Holdings (NYS: DNB),2020-07-01,1722.65,IPO,,,1.3935660506502396,509
