DealID,Company,InvestorFund,Deal Size Status,DealDate,DealType,DealType2,DealType3,DealSize,Post Valuation,DealSynopsis,DealStatus,Financing Status,Business Status,Investors,PrimaryIndustry,Verticals,Description,HQ Location,Company_norm,IsEntry,IsExit
58814-47T,Dell EMC,Silver Lake Partners IV(Silver Lake),Actual,2016-09-07,Buyout/LBO,Add-on,Public to Private,67000.0,67000.0,"The company (NYSE: EMC) was acquired by Dell Technologies, via its financial sponsors MSD Capital, Silver Lake Management and Temasek Holdings, through a $67 billion LBO on September 7, 2016.",Completed,Formerly PE-Backed,Profitable,"Dell Technologies (NYS: DELL)(Michael Dell), DFO Management, Silver Lake",Systems and Information Management,"Big Data, Cybersecurity, SaaS, TMT","Provider of IT (information technology) infrastructure services intended to transform workplaces to achieve digital business goals. The company offers information infrastructure management, data storage solutions, servers, networking solutions, data protection systems and enterprise security solutions, enabling clients to store protect, and manage data efficiently and accelerate workload performance through cloud-based solutions and technology consulting services.","Hopkinton, MA",dell emc,True,False
279656-74T,Walgreens Boots Alliance (NAS: WBA),,Actual,2025-03-06,Buyout/LBO,Public to Private,,39749.37,39749.37,"The company entered into a definitive agreement to be acquired by Sycamore Partners Management through a $39.7 billion public-to-private LBO on March 6, 2025. The transaction is supported by $26.78 billion of debt financing.",Announced/In Progress,Corporation,Generating Revenue,Sycamore Partners Management(Stefan Kaluzny),Specialty Retail,,"Walgreens Boots Alliance is one of the largest retail pharmacy chains in the US, with over 8,000 locations. Nearly three quarters of Americans live within five miles of a Walgreens location. Roughly two thirds of revenue is generated from prescription drug sales; Walgreens makes up 20% of total prescription revenue in the US. Walgreens also generates sales from retail products (general wellness consumables and its own branded merchandise), European drug wholesale, and healthcare. With more locations incorporating additional services like Health Corner and Village Medical, Walgreens creates an omnichannel experience for patients and positions itself as a one-stop healthcare provider.","Deerfield, IL",walgreens boots alliance (nas: wba),True,False
10211-59T,EQ Office,,Actual,2007-02-09,Buyout/LBO,Public to Private,,39000.0,39000.0,"The company was acquired by Blackstone through a $39 billion public-to-private LBO on February 9, 2007. The transaction was supported by debt financing.",Completed,Private Equity-Backed,Profitable,Blackstone (NYS: BX)(Jonathan Gray),Buildings and Property,,"Operator of office buildings intended to serve commercial and corporate industries. The company provides workspaces and experiences designed by experts for companies, thereby helping companies attract, retain and inspire talent by creating effective workplaces.","Chicago, IL",eq office,True,False
100682-38T,Dr Pepper Snapple Group,"BDT Capital Partners Fund I(BDT & Company (Private Equity)), JAB Consumer Fund - Global Consumer Brands II(JAB Holding Company)",Actual,2018-07-09,Buyout/LBO,Add-on,Public to Private,22482.0,22482.0,"The company was acquired by Keurig Green Mountain, via its financial sponsors BDT Capital Partners, FFP Group and JAB Holding Company through a $22.48 billion LBO on July 9, 2018. Mondelez International also participated in the transaction. As a part of the transation the company went private.",Completed,Private Equity-Backed,Profitable,"BDT & Company (Private Equity)(Byron Trott), JAB Holding Company(Olivier Goudet), Keurig Dr Pepper (NAS: KDP)(Robert Gamgort), Mondelēz Global (NAS: MDLZ), Peugeot Invest (PAR: PEUG)",Beverages,Manufacturing,"Manufacturer of flavored beverages. The company's flavored beverages are synonymous with refreshment, fun and flavor for every generations, enabling the customers to savour tasty drinks at affordable price ranges.","Plano, TX",dr pepper snapple group,True,False
87551-38T,Calpine,"Energy Capital Partners III(Energy Capital Partners), Energy Capital Partners IV(Energy Capital Partners)",Estimated,2018-03-08,Buyout/LBO,Public to Private,,17000.0,17000.0,"The company was acquired by Energy Capital Partners, CPP Investments and Access Industries through a estimated $17 billion public-to-private LBO on March 8, 2018. As a result of the transaction, the company was delisted.",Completed,Private Equity-Backed,Profitable,"Access Industries(Leonard Blavatnik), CPP Investments(Avik Dey), Energy Capital Partners(Tyler Reeder)",Electric Utilities,,"Provider of electricity generation services intended to support competitive power markets in the United States, Canada and Mexico. The company generates electricity from natural gas and geothermal resources with robust commercial, industrial and residential retail operations, enabling consumers to have access to clean and affordable energy.","Houston, TX",calpine,True,False
185474-26T,Citrix Systems,Vista Equity Partners Continuation Fund(Vista Equity Partners),Actual,2022-09-20,Buyout/LBO,Add-on,Public to Private,16717.2,16717.2,"The company was acquired by Elliott Investment Management and TIBCO Software, via its financial sponsor Vista Equity Partners through a $16.72 billion public-to-private LBO on September 20, 2022.",Completed,Private Equity-Backed,Profitable,"Elliott Investment Management(Isaac Kim), TIBCO Software, Vista Equity Partners(John Stalder)",Business/Productivity Software,"Cybersecurity, TMT","Developer of enterprise infrastructure software designed to empower secure hybrid work. The company's platform encompasses virtualization, integration, data management, automation, business intelligence, collaboration, networking and security, helping companies adapt, transform and meet the challenges across a variety of data and application environments.","Fort Lauderdale, FL",citrix systems,True,False
251199-46T,Catalent,,Actual,2024-12-16,Buyout/LBO,Public to Private,,16500.0,16500.0,"The company was acquired by Novo Holdings through a $16.5 billion public-to-private LBO on December 16, 2024. Following the closing of the transaction, shares of the company will no longer trade on the New York Stock Exchange and will become a private company. The transaction was supported by $4.78 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,Novo Holdings(Kasim Kutay),BPO/Outsource Services,,"Catalent is a contract development and manufacturing organization, or CDMO. It operates under four segments: biologics, softgel and oral technologies, oral and specialty delivery, and clinical supply services. Catalent derives its revenues primarily from long-term supply agreements with pharmaceutical customers. The company provides a range of development and manufacturing solutions for drugs, protein-based biologics, cell and gene therapies, and consumer health products throughout the entire life cycle of a product from the drug development process to commercial supply. Catalent has over 50 facilities across four continents.",NJ,catalent,True,False
191119-24T,The Nielsen Company,,Actual,2022-10-11,Buyout/LBO,Public to Private,,16006.0,16007.0,"The company was acquired by Hybridge Capital Management, Elliott Investment Management and Brookfield Business Partners through a $16 billion public-to-private LBO on October, 11 2022. The transaction was supported by $7.11 billion of debt financing.",Completed,Private Equity-Backed,Profitable,"Brookfield Business Partners (TSE: BBU.UN)(Dave Gregory), Elliott Investment Management, Hybridge Capital Management",Media and Information Services (B2B),"AdTech, TMT","Provider of global measurement and data analytics services intended to provide clients with a complete understanding of what consumers watch and buy. The company offers audience measurement, media planning, marketing optimization and content metadata, enabling clients to connect and engage with their audiences.","New York, NY",the nielsen company,True,False
183406-06T,CyrusOne,"Global Infrastructure Partners IV(Global Infrastructure Partners), KKR Global Infrastructure Investors IV(Kohlberg Kravis Roberts), Pantheon Infrastructure Fund(Pantheon Infrastructure)",Actual,2022-03-25,Buyout/LBO,Public to Private,,15000.0,15000.0,"The company was acquired by Kohlberg Kravis Roberts, Pantheon Infrastructure and Global Infrastructure Partners through a $15 billion public-to-private LBO on March 25, 2022. The transaction was supported by an undisclosed amount of debt financing. The deal will enable the company to broaden its continued growth and global expansion strategy.",Completed,Private Equity-Backed,Profitable,"Global Infrastructure Partners(William Brilliant), Kohlberg Kravis Roberts (NYS: KKR)(Waldemar Szlezak), Pantheon Infrastructure (LON: PINC)",Systems and Information Management,,"Provider of corporate colocation services intended to serve retail, healthcare, technology, energy, and other companies. The company offers services through its multitenant and single-tenant data centers as well as provides large spaces on longer-term leases, enabling its clients to reduce long-term capital and operating costs by getting customized data center facilities tailored to their current and future information technology (IT) needs.","Dallas, TX",cyrusone,True,False
183067-84T,McAfee,Crosspoint Capital Fund I(Crosspoint Capital Partners),Actual,2022-03-01,Buyout/LBO,Secondary Buyout,Public to Private,14214.43,14214.43,"The company was acquired by Advent International, Permira, Crosspoint Capital Partners, GIC (Singapore), CPP Investments, Abu Dhabi Investment Authority and NB Capital Solutions through a $14.2 billion LBO on March, 1 2022. The transaction was supported by $10.78 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"Abu Dhabi Investment Authority, Advent International(Bryan Taylor), CPP Investments, Crosspoint Capital Partners(Greg Clark), GIC Private, NB Capital Solutions, Permira",Network Management Software,"Artificial Intelligence & Machine Learning, Cybersecurity, SaaS","Developer of cybersecurity software designed to protect, detect and manage security threats. The company provides device security, which includes anti-malware software, secure home platform products, also internet security which includes safe connect Virtual Private Network and web advisor products and identity protection which includes identity theft protection and password manager products, enabling clients to explore challenges, take smart risks and reach their potential.","San Jose, CA",mcafee,True,False
204061-24T,STORE Capital,,Actual,2023-02-03,Buyout/LBO,Public to Private,,14000.0,14000.0,"The company was acquired by Blue Owl Capital and GIC through an $14 billion public-to-private LBO on February 3, 2023. Through this acquisition, the company will provide the funding and support needed to drive value and deliver long-term financing solutions to middle-market United States companies.",Completed,Private Equity-Backed,Profitable,"Blue Owl Capital (NYS: OWL)(Marc Zahr), GIC Private(Kok Lee)",Real Estate Investment Trusts (REITs),,"Provider of real estate investment services intended to address the long-term capital needs of real estate-intensive operating businesses. The company provides customers with continued superior access to efficient, long-term capital, and remains a stable, long-term investor.","Scottsdale, AZ",store capital,True,False
192478-87T,American Campus Communities,"Blackstone Property Partners(Blackstone), Blackstone Real Estate Income Trust(Blackstone Real Estate Income Trust)",Actual,2022-08-09,Buyout/LBO,Public to Private,,13000.0,13000.0,"The company was acquired by Blackstone and Blackstone Real Estate Income Trust through a $13 billion public-to-private LBO on August 9, 2022.",Completed,Private Equity-Backed,Profitable,"Blackstone (NYS: BX), Blackstone Real Estate Income Trust(Jacob Werner)",Real Estate Services (B2C),,"Operator of operational management firm intended for student housing properties. The company segments its activities into owned properties, on-campus participating properties, development services and property management services along with leasing its wholly-owned real estate assets to students through short-term leases.","Austin, TX",american campus communities,True,False
244241-38T,Endeavor Group Holdings,,,2025-03-24,Buyout/LBO,Public to Private,Management Buyout,13000.0,25000.0,"The company was acquired by Silver Lake, Lexington Partners, DFO Management, Goldman Sachs Asset Management, CPP Investments, Mubadala Investment Company and Mr. Mark Shapiro, Mr. Patrick Whitesell and Mr. Ariel Emanuel through a $13 billion public-to-private LBO on March 24, 2025. The transaction values the company at an estimated $25 billion. The transaction was supported by debt financing.",Completed,Private Equity-Backed,Generating Revenue/Not Profitable,"CPP Investments, DFO Management, Goldman Sachs Asset Management, Lexington Partners, Mubadala Investment Company, Silver Lake",Media and Information Services (B2B),,"Endeavor Group Holdings Inc is an entertainment and sports company. The company owns and operates sports and entertainment properties, including UFC and WWE through its majority ownership of TKO, produces and distributes sports and entertainment content, owns and manages exclusive live events and experiences, and represents top sports, entertainment, and fashion talent, as well as blue chip corporate clients. Its reportable segments are Owned Sports Properties, Events, Experiences & Rights, and Representation. Maximum revenue is generated from its Owned Sports Properties segment, which is comprised of a portfolio of sports and entertainment properties, including UFC, WWE, PBR, and Euroleague. Geographically, it derives key revenue from the United States.","New York, NY",endeavor group holdings,True,False
229648-60T,Qualtrics,,Estimated,2023-06-28,Buyout/LBO,Public to Private,,12500.0,12500.0,"The company was acquired by Silver Lake, Susquehanna Growth Equity, Harbert Management, Accel Management Company, CPP Investments, BDT & MSD Partners and DFO Management through an estimated $12.5 billion public-to-private LBO on June 28, 2023. The transaction was supported by $1.4 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"Accel(Ryan Sweeney), BDT & MSD Partners(Gregg Lemkau), CPP Investments(Hafiz Lalani), DFO Management(Michael Dell), Harbert Management, Silver Lake, Susquehanna Growth Equity",Business/Productivity Software,SaaS,"Developer of enterprise data collection and analysis software intended to survey employees, markets and customers. The company's software is purpose-built to help organizations collect feedback and data across the four vital signs of a business customers, employees, brand and product, enabling clients to deliver better experiences in contact centers and across every digital and physical touchpoint.","Provo, UT",qualtrics,True,False
