Vintage,firms_no_exit,entry_spend_no_exit,total_firms,total_entry_spend,fraction_by_number_no_exit,fraction_by_entry_spend_no_exit
1977.0,2,25.6,2,25.6,1.0,1.0
1979.0,1,400.0,1,400.0,1.0,1.0
1981.0,1,435.0,1,435.0,1.0,1.0
1983.0,2,165.0,2,165.0,1.0,1.0
1984.0,3,850.0,3,850.0,1.0,1.0
1985.0,4,2845.7,4,2845.7,1.0,1.0
1986.0,2,172.9,2,172.9,1.0,1.0
1987.0,3,2022.0,6,2296.3,0.5,0.8805469668597308
1988.0,10,904.55,12,1314.55,0.8333333333333334,0.6881061960366666
1989.0,3,480.1,6,3176.4,0.5,0.1511459513915124
1990.0,1,42.5,2,60.5,0.5,0.7024793388429752
1992.0,1,29.4,2,29.4,0.5,1.0
1993.0,1,150.0,2,316.15,0.5,0.47445832674363436
1994.0,1,40.31,2,2040.31,0.5,0.019756801662492465
1995.0,4,1142.0,6,1209.91,0.6666666666666666,0.9438718582373895
1996.0,2,2128.6,6,6881.22,0.3333333333333333,0.3093346819314017
1997.0,13,2370.89,19,3203.65,0.6842105263157895,0.7400589952085901
1998.0,15,5817.77,22,7289.03,0.6818181818181818,0.7981542125632629
1999.0,18,5844.38,30,9612.08,0.6,0.6080244858552988
2000.0,24,6150.85,38,12059.02,0.631578947368421,0.5100621775235467
2001.0,16,3446.65,20,3500.74,0.8,0.9845489810725733
2002.0,11,1206.96,18,2221.82,0.6111111111111112,0.5432303246887686
2003.0,31,7457.96,41,13988.34,0.7560975609756098,0.5331554709136324
2004.0,26,4851.99,40,8002.56,0.65,0.6063047324856046
2005.0,20,14397.57,41,43001.07,0.4878048780487805,0.33481887776280916
2006.0,31,16571.6,63,72708.88,0.49206349206349204,0.22791714024476786
2007.0,58,87688.65,109,365954.66,0.5321100917431193,0.23961615900723876
2008.0,29,9979.55,48,25689.79,0.6041666666666666,0.38846366591552517
2009.0,20,8857.09,40,12375.67,0.5,0.7156856962087709
2010.0,38,20896.06,60,34439.51,0.6333333333333333,0.6067467278134909
2011.0,44,19025.1,68,56543.409999999996,0.6470588235294118,0.3364689183054223
2012.0,38,20612.42,55,27612.86,0.6909090909090909,0.7464789956563717
2013.0,41,20317.86,56,87244.61,0.7321428571428571,0.23288384233707962
2014.0,27,15951.43,35,16964.46,0.7714285714285715,0.9402851608598212
2015.0,26,46423.9,40,66896.3,0.65,0.6939681267872811
2016.0,40,111809.92,56,158366.01,0.7142857142857143,0.7060222076694361
2017.0,49,73119.72,60,81322.5,0.8166666666666667,0.899132712348981
2018.0,50,105523.07,54,107467.23,0.9259259259259259,0.9819092759718475
2019.0,36,61322.87,43,77280.37,0.8372093023255814,0.7935115993880465
2020.0,37,55751.43,41,62587.43,0.9024390243902439,0.8907767901637756
2021.0,52,159011.13999999998,52,159011.13999999998,1.0,1.0
2022.0,53,201229.46,56,239763.65,0.9464285714285714,0.8392826018456092
2023.0,53,137930.89,53,137930.89,1.0,1.0
2024.0,53,103771.57,53,103771.57,1.0,1.0
2025.0,53,137972.61000000002,53,137972.61000000002,1.0,1.0
