Vintage,num_firms_acquired,total_going_in_spend
1977.0,2,25.6
1979.0,1,400.0
1981.0,1,435.0
1983.0,2,165.0
1984.0,3,850.0
1985.0,4,2845.7
1986.0,2,172.9
1987.0,6,2296.3
1988.0,12,1314.55
1989.0,6,3176.4
1990.0,2,60.5
1992.0,2,29.4
1993.0,2,316.15
1994.0,2,2040.31
1995.0,6,1209.91
1996.0,6,6881.22
1997.0,19,3203.65
1998.0,22,7289.03
1999.0,30,9612.08
2000.0,38,12059.02
2001.0,20,3500.74
2002.0,18,2221.82
2003.0,41,13988.34
2004.0,40,8002.56
2005.0,41,43001.07
2006.0,63,72708.88
2007.0,109,365954.66
2008.0,48,25689.79
2009.0,40,12375.67
2010.0,60,34439.51
2011.0,68,56543.409999999996
2012.0,55,27612.86
2013.0,56,87244.61
2014.0,35,16964.46
2015.0,40,66896.3
2016.0,56,158366.01
2017.0,60,81322.5
2018.0,54,107467.23
2019.0,43,77280.37
2020.0,41,62587.43
2021.0,52,159011.13999999998
2022.0,56,239763.65
2023.0,53,137930.89
2024.0,53,103771.57
2025.0,53,137972.61000000002
