Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear
1-800 contacts,2007-09-06,2012-06-04,4.744695414099931,MultipleEntriesSingleExit,buyout/lbo,public to private,,340.0,fenway partners(timothy mayhew),merger/acquisition,,,900.0,elevance health (nys: elv)(angela braly),2007,2012
1091 pictures,2019-01-24,2022-03-04,3.1074606433949348,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,"dimensional associates, jds sports",merger/acquisition,,,15.55,chicken soup for the soul entertainment(elana sofko),2019,2022
1370 broadway,2012-04-30,2014-04-07,1.9356605065023955,SingleEntrySingleExit,buyout/lbo,asset acquisition,,125.0,normandy real estate partners,merger/acquisition,,,186.0,florida state board of administration,2012,2014
180s,2005-04-04,2019-05-01,14.072553045859001,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,patriarch partners,merger/acquisition,,,,,2005,2019
1st mariner bank,2014-06-17,2018-03-01,3.704312114989733,SingleEntrySingleExit,buyout/lbo,distressed acquisition,,18.72,"gcp capital partners(boris gutin), patriot financial partners(michael high), priam properties, rkjs bank",merger/acquisition,,,173.8,howard bank(mary scully),2014,2018
3 day blinds,2015-01-01,2019-12-04,4.922655715263518,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,aldermanbury investments,merger/acquisition,,,,hunter douglas,2015,2019
30dc (immediate edge business unit),2014-03-05,2022-02-01,7.912388774811773,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,the raine group,merger/acquisition,,,,,2014,2022
333 market street,2010-01-01,2013-01-04,3.0088980150581794,SingleEntrySingleExit,buyout/lbo,asset acquisition,,,,merger/acquisition,,,,columbia property trust(nelson mills),2010,2013
3gtms,2019-04-17,2025-03-24,5.935660506502396,SingleEntrySingleExit,buyout/lbo,,,87.0,sumeru equity partners(sanjeet mitra),merger/acquisition,,,115.0,descartes systems group (tse: dsg)(edward ryan),2019,2025
4 wheel parts,2006-02-14,2024-10-18,18.67488021902806,SingleEntrySingleExit,buyout/lbo,add-on,,,"irving place capital(bodil arlander), transamerican auto parts(george adler)",merger/acquisition,corporate divestiture,,45.0,off road warehouse,2006,2024
4front engineered solutions,2006-10-24,2012-12-24,6.168377823408624,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,46.0,wynnchurch capital(jon kleinke),merger/acquisition,,,,assa abloy (sto: assa b)(johan molin),2006,2012
5 alarm music,2016-02-09,2024-10-21,8.698151950718685,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,,"anthem entertainment(robert ott), ontario teachers' pension plan(ziad hindo)",merger/acquisition,corporate divestiture,,,slipstream,2016,2024
600 california street,2014-11-17,2019-08-13,4.736481861738535,MultipleEntriesSingleExit,buyout/lbo,asset acquisition,secondary buyout,216.5,bentallgreenoak(david antonelli),merger/acquisition,,,,wework,2014,2019
930 wfmd,2019-06-01,2024-07-24,5.147159479808351,SingleEntrySingleExit,buyout/lbo,add-on,,,"connoisseur media, perot investments(steven blasnik)",merger/acquisition,corporate divestiture,,4.28,local daily media(adam crotty),2019,2024
99.9 the hawk,2013-07-01,2019-04-16,5.790554414784395,MultipleEntriesSingleExit,buyout/lbo,add-on,corporate divestiture,38.7,"balance point capital(seth alvord), connoisseur media(cameron maxwell)",merger/acquisition,corporate divestiture,,,cumulus media (pinx: cmls),2013,2019
a raymond tinnerman,2004-11-04,2009-11-09,5.0130047912388775,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"ares management (nys: ares), berkshire partners, greenbriar equity group(joel beckman), pnc erieview capital",merger/acquisition,,,,araymond,2004,2009
a world of tile,2009-02-23,2021-10-01,12.602327173169062,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,,fc crestone,merger/acquisition,,,,,2009,2021
a.h. harris & sons,2015-06-03,2018-03-05,2.754277891854894,SingleEntrySingleExit,buyout/lbo,secondary buyout,recapitalization,,frontenac company(michael langdon),merger/acquisition,,,362.0,white cap,2015,2018
aaf flanders,2012-05-16,2016-04-27,3.9479808350444903,SingleEntrySingleExit,buyout/lbo,public to private,,192.0,insight equity(eliot kerlin),merger/acquisition,,,430.0,american air filter international(philip whitaker),2012,2016
aam,2007-12-21,2014-12-31,7.028062970568104,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"kbw capital partners, stone point capital(fayez muhtadie)",merger/acquisition,,,,securian financial group(christopher hilger),2007,2014
aar aircraft services-miami,2002-03-01,2008-03-05,6.012320328542095,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,farragut capital partners,merger/acquisition,,,15.0,aar (nys: air)(david storch),2002,2008
aarrowcast,2012-08-14,2021-11-23,9.27583846680356,SingleEntrySingleExit,buyout/lbo,secondary buyout,,84.3,"industrial opportunity partners(adam gottlieb), yukon partners(michael hall)",merger/acquisition,,,,charter manufacturing(john mellowes),2012,2021
