Company,EventIndex,EventDate,Reason,EntryCountCompany,ExitCountCompany
(centerstate bank) downtown fort pierce branch,0,2018-01-01,ExitWithoutPriorEntry,0,1
100-104 fifth avenue,0,2013-06-06,ExitWithoutPriorEntry,0,1
1015 chestnut,0,2017-02-01,ExitWithoutPriorEntry,0,1
10th magnitude,0,2020-10-01,ExitWithoutPriorEntry,0,1
10th street,0,2022-09-01,ExitWithoutPriorEntry,0,1
1105 media (educational technology events),0,2015-04-02,ExitWithoutPriorEntry,0,1
13 colonies software,0,2004-01-01,ExitWithoutPriorEntry,0,1
1575 acre pine plantation,0,2017-10-01,ExitWithoutPriorEntry,0,1
16 forge park,0,2007-06-14,ExitWithoutPriorEntry,0,1
1901 group,0,2021-01-14,ExitWithoutPriorEntry,0,1
1915 terry avenue,0,2007-12-27,ExitWithoutPriorEntry,0,1
1gw natural gas-fueled project (panda power funds / sunbury generation),0,2023-04-01,ExitWithoutPriorEntry,0,1
1st united bancorp,0,2008-04-16,ExitWithoutPriorEntry,0,2
1st united bancorp,1,2014-10-31,ExitWithoutPriorEntry,0,2
2-10 home buyers warranty,0,2024-12-19,ExitWithoutPriorEntry,0,1
21st century grain processing,0,2010-08-17,ExitWithoutPriorEntry,0,1
21st century newspapers,0,2004-08-13,ExitWithoutPriorEntry,0,1
2300 lake park drive,0,2014-12-19,ExitWithoutPriorEntry,0,1
25twenty,0,2012-10-25,ExitWithoutPriorEntry,0,1
288 unit apartment,0,2015-08-13,ExitWithoutPriorEntry,0,1
299 resources,0,2016-12-06,ExitWithoutPriorEntry,0,1
29west,0,2010-03-21,ExitWithoutPriorEntry,0,1
2gig technologies,0,2013-04-01,ExitWithoutPriorEntry,0,1
3 kings entertainment,0,2022-09-07,ExitWithoutPriorEntry,0,1
3-g international,0,2001-05-01,ExitWithoutPriorEntry,0,1
3001 international,0,2008-10-03,ExitWithoutPriorEntry,0,1
30dc (immediate edge business unit),0,2009-07-15,ExitWithoutPriorEntry,1,2
3330 cahuenga,0,2006-05-08,ExitWithoutPriorEntry,0,1
361 capital,0,2021-04-01,ExitWithoutPriorEntry,0,1
36th street capital,0,2024-06-01,ExitWithoutPriorEntry,0,1
3ality technica,0,2013-04-08,ExitWithoutPriorEntry,0,1
3bear energy,0,2021-07-01,ExitWithoutPriorEntry,0,1
3cinteractive,0,2019-09-30,ExitWithoutPriorEntry,0,1
3d exhibits,0,2005-01-01,ExitWithoutPriorEntry,0,1
3dgeo development,0,2008-11-03,ExitWithoutPriorEntry,0,1
"3e company environmental, ecological and engineering",0,2010-12-16,ExitWithoutPriorEntry,0,1
3form,0,2007-03-13,ExitWithoutPriorEntry,0,2
3form,1,2024-04-29,ExitWithoutPriorEntry,0,2
3pd,0,2013-08-15,ExitWithoutPriorEntry,0,1
3q/ dept,0,2018-03-02,ExitWithoutPriorEntry,0,1
3rd dimension industrial 3d printing,0,2021-04-12,ExitWithoutPriorEntry,0,1
"3seed marketing, design & interactive",0,2020-11-01,ExitWithoutPriorEntry,0,1
42six solutions,0,2012-10-03,ExitWithoutPriorEntry,0,1
43 property self storage portfolio,0,2013-10-07,ExitWithoutPriorEntry,0,1
48hourprint,0,2016-04-01,ExitWithoutPriorEntry,0,1
4front solutions,0,2012-02-15,ExitWithoutPriorEntry,0,1
4g world,0,2012-02-07,ExitWithoutPriorEntry,0,1
4k fuel supply,0,2013-01-01,ExitWithoutPriorEntry,0,1
4thpass,0,2002-09-16,ExitWithoutPriorEntry,0,1
5 arch funding,0,2019-03-01,ExitWithoutPriorEntry,0,1
