Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,HasBothDates,HasBothSizes,EligibleForIRR,HoldingYears,IRR_XIRR,TotalDistributions,TotalGains,Exit_DealType,Exit_DealType2,Exit_DealType3,EntryYear
10217-44T,Energy Future Holdings,2007-10-10,45000.0,90359-83T,Energy Future Holdings,2018-03-09,9450.0,True,True,True,10.412046543463381,-0.13919627989828592,0.0,9450.0,Merger/Acquisition,,,2007
192262-69T,X (Social/Platform Software),2022-10-27,38184.79,289730-89T,X (Social/Platform Software),2025-03-28,33000.0,True,True,True,2.4175222450376452,-0.0585775811225437,0.0,33000.0,Merger/Acquisition,,,2022
10215-46T,First Data,2007-09-24,29000.0,53879-23T,First Data,2015-10-15,2560.0,True,True,True,8.057494866529774,-0.26010430742103685,0.0,2560.0,IPO,Debt Repayment,,2007
24443-74T,The Kraft Heinz (NAS: KHC),2013-02-14,28000.0,58462-12T,The Kraft Heinz (NAS: KHC),2015-07-02,,True,False,False,2.3764544832306638,,,,Reverse Merger,,,2013
10207-54T,Alltel,2007-11-16,27500.0,11613-34T,Alltel,2009-01-09,28100.0,True,True,True,1.1498973305954825,0.018947262705386065,0.0,28100.0,Merger/Acquisition,,,2007
10305-01T,Hilton Worldwide Holdings (NYS: HLT),2007-06-01,26100.0,18244-54T,Hilton Worldwide Holdings (NYS: HLT),2013-12-12,2352.81,True,True,True,6.532511978097194,-0.30813287228691394,0.0,2352.81,IPO,,,2007
23881-42T,Dell Technologies (NYS: DELL),2013-10-29,24900.0,243580-06T,Dell Technologies (NYS: DELL),2018-12-28,,True,False,False,5.163586584531143,,,,Reverse Merger,,,2013
10359-01T,Freescale Semiconductor,2006-11-01,17600.0,17123-14T,Freescale Semiconductor,2011-05-26,783.0,True,True,True,4.563997262149213,-0.4943814202531939,0.0,783.0,IPO,,,2006
10220-50T,Kinder Morgan (NYS: KMI),2007-05-29,14700.0,243605-89T,Kinder Morgan (NYS: KMI),2011-02-11,2864.0,True,True,True,3.707049965776865,-0.3567494591289407,0.0,2864.0,IPO,,,2007
44881-03T,Keurig Dr Pepper (NAS: KDP),2016-03-03,13900.0,243609-67T,Keurig Dr Pepper (NAS: KDP),2018-07-09,,True,False,False,2.349075975359343,,,,Reverse Merger,,,2016
10815-58T,Archstone-Smith,2007-10-05,13500.0,19126-27T,Archstone-Smith,2013-02-27,16000.0,True,True,True,5.3990417522245036,0.03196873262626897,0.0,16000.0,Merger/Acquisition,,,2007
10248-94T,Biomet,2007-09-25,11400.0,33318-73T,Biomet,2015-06-24,1335.0,True,True,True,7.745379876796714,-0.2418683600760939,0.0,1335.0,Merger/Acquisition,,,2007
10347-31T,FIS Data Systems,2005-08-11,11400.0,52500-97T,FIS Data Systems,2015-11-30,12460.1,True,True,True,10.302532511978097,0.008668063253708608,0.0,12460.1,Merger/Acquisition,,,2005
