EntryYear,ExitCategory,exits_n,entry_spend_for_exits,avg_irr,denom_entries_n,denom_entry_spend,frac_by_number,frac_by_entry_spend
1987,ipo,1,0.0,,6,2296.3,0.16666666666666666,0.0
1987,merger/acquisition,3,474.3,-0.061916699472069806,6,2296.3,0.5,0.20654966685537604
1988,merger/acquisition,3,410.0,0.0027903329646978836,12,1314.55,0.25,0.3118938039633335
1989,merger/acquisition,3,2696.3,0.0765356920623786,6,3176.4,0.5,0.8488540486084877
1990,merger/acquisition,1,18.0,0.02581612602362442,2,60.5,0.5,0.2975206611570248
1992,merger/acquisition,1,0.0,,2,29.4,0.5,0.0
1993,merger/acquisition,1,166.15,0.05153145018217901,2,316.15,0.5,0.5255416732563657
1994,merger/acquisition,1,2000.0,-0.05161084549983342,2,2040.31,0.5,0.9802431983375076
1995,merger/acquisition,3,159.91,0.11038293612307326,6,1209.9099999999999,0.5,0.1321668553859378
1996,ipo,2,1960.0,-0.019944305447276267,6,6881.219999999999,0.3333333333333333,0.28483321271518713
1996,merger/acquisition,1,92.62,,6,6881.219999999999,0.16666666666666666,0.013459822531469712
1996,reverse merger,1,2700.0,,6,6881.219999999999,0.16666666666666666,0.3923722828219415
1997,ipo,1,140.0,0.06992320517637604,19,3203.65,0.05263157894736842,0.043700154511260594
1997,merger/acquisition,8,1165.32,0.07757949783248622,19,3203.65,0.42105263157894735,0.36374760039330134
1997,reverse merger,1,67.4,,19,3203.65,0.05263157894736842,0.02103850295756403
1998,ipo,1,133.0,0.04497048437557015,22,7289.03,0.045454545454545456,0.01824659796982589
1998,merger/acquisition,9,1894.74,-0.08943863087315533,22,7289.03,0.4090909090909091,0.25994405291239026
1999,ipo,4,1070.09,-0.20700873174777237,30,9612.08,0.13333333333333333,0.11132762107681167
1999,merger/acquisition,12,3404.2,0.08512800137327155,30,9612.08,0.4,0.354158517199191
2000,ipo,5,1928.68,-0.16411833366363393,38,12059.02,0.13157894736842105,0.15993671127504558
2000,merger/acquisition,13,4848.93,0.023311297606781977,38,12059.02,0.34210526315789475,0.40209983895872137
2001,merger/acquisition,8,138.16,0.6096709453243869,20,3500.74,0.4,0.03946594148665711
2001,reverse merger,1,71.48,0.1656293328764217,20,3500.74,0.05,0.020418540080097355
2002,ipo,3,756.22,-0.0764967372402493,18,2221.82,0.16666666666666666,0.34036060526955375
2002,merger/acquisition,6,393.64,0.2621680016141477,18,2221.82,0.3333333333333333,0.17717006778226857
2003,ipo,2,1818.3400000000001,0.25705215223281674,40,9288.34,0.05,0.19576587420357136
2003,merger of equals,1,30.0,,40,9288.34,0.025,0.0032298559268932876
2003,merger/acquisition,14,2755.77,2.0062104167943846,40,9288.34,0.35,0.29669133558849053
2004,ipo,2,445.3,-0.23727788472237782,38,7755.76,0.05263157894736842,0.057415391915170144
2004,merger/acquisition,16,3558.27,-0.033352726885367466,38,7755.76,0.42105263157894735,0.4587906278688355
2005,ipo,8,7863.65,-0.20834738605010045,40,42644.97,0.2,0.18439806617286866
2005,merger/acquisition,17,26648.0,0.1337930125687999,40,42644.97,0.425,0.6248802613766641
2006,ipo,9,43356.3,-0.331857458958827,63,72708.88,0.14285714285714285,0.5962999292521078
2006,merger/acquisition,29,18540.07,-0.01159757881058557,63,72708.88,0.4603174603174603,0.25499044958469996
2006,reverse merger,1,663.0,-0.0058985593550954975,63,72708.88,0.015873015873015872,0.009118556082833348
2007,ipo,19,134992.01,-0.3055749542653323,109,365954.66,0.1743119266055046,0.3688763247337799
2007,merger/acquisition,38,147556.74,-0.06633204361632214,109,365954.66,0.3486238532110092,0.4032104414246289
2007,reverse merger,2,3230.0,-0.08579218073701138,109,365954.66,0.01834862385321101,0.008826230003465458
2008,ipo,5,8219.46,-0.24404266300252156,48,25689.79,0.10416666666666667,0.3199504550251286
2008,merger/acquisition,15,7490.78,0.08344142848453567,48,25689.79,0.3125,0.29158587905934613
2008,reverse merger,1,2135.0,,48,25689.79,0.020833333333333332,0.08310694637830826
2009,ipo,2,604.0,-0.07732975420679886,39,12375.67,0.05128205128205128,0.048805438412627355
2009,merger/acquisition,21,3157.58,0.25066879770062306,39,12375.67,0.5384615384615384,0.2551441659320263
2010,ipo,4,10331.15,-0.2833865040412467,60,34439.51,0.06666666666666667,0.2999795873983108
2010,merger of equals,1,0.0,,60,34439.51,0.016666666666666666,0.0
2010,merger/acquisition,21,13312.3,0.05181267808850249,60,34439.51,0.35,0.3865415042200077
2010,reverse merger,1,1200.0,-0.047966083290415434,60,34439.51,0.016666666666666666,0.034843701318630835
2011,ipo,6,16045.0,-0.28763024119741604,65,55967.41,0.09230769230769231,0.28668469739800356
2011,merger/acquisition,21,22047.56,0.06582464166979514,65,55967.41,0.3230769230769231,0.3939356850710083
