EntryYear,total_entries_n,total_entry_spend
1977.0,2,25.6
1979.0,1,400.0
1981.0,1,435.0
1983.0,2,165.0
1984.0,3,850.0
1985.0,4,2845.7
1986.0,2,172.9
1987.0,6,2296.3
1988.0,12,1314.55
1989.0,6,3176.4
1990.0,2,60.5
1992.0,2,29.4
1993.0,2,316.15
1994.0,2,2040.31
1995.0,6,1209.9099999999999
1996.0,6,6881.219999999999
1997.0,19,3203.65
1998.0,22,7289.03
1999.0,30,9612.08
2000.0,38,12059.02
2001.0,20,3500.74
2002.0,18,2221.82
2003.0,40,9288.34
2004.0,38,7755.76
2005.0,40,42644.97
2006.0,63,72708.88
2007.0,109,365954.66
2008.0,48,25689.79
2009.0,39,12375.67
2010.0,60,34439.51
2011.0,65,55967.41
2012.0,51,27161.66
2013.0,56,87244.61
2014.0,35,16964.46
2015.0,40,66896.3
2016.0,56,158366.01
2017.0,57,78202.5
2018.0,52,106950.88
2019.0,44,79480.37
2020.0,40,60387.43
2021.0,52,159011.14
2022.0,56,239763.65
2023.0,51,131616.75
2024.0,52,97488.17
2025.0,53,137972.61000000002
